facility_id,facility_name,city,county,hospital_ownership,hospital_type,overall_rating,is_houston_area,readm_pn_pct,readm_hf_pct,mort_hf_pct,mort_pn_pct,hai_clabsi_sir,hai_cauti_sir,sepsis_bundle_pct,ed_left_without_seen_pct,recommend_pct,rated_9_10_pct,hcahps_star
670054,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,SAN ANTONIO,BEXAR,Proprietary,Acute Care Hospitals,,False,,,,,,,,,81.0,80.0,
450658,FREESTONE MEDICAL CENTER,FAIRFIELD,FREESTONE,Government - Hospital District or Authority,Acute Care Hospitals,,False,16.7,21.4,,15.0,,,62.0,2.0,,,
451391,FRIO REGIONAL HOSPITAL,PEARSALL,FRIO,Voluntary non-profit - Private,Critical Access Hospitals,,False,17.2,,,,,,56.0,,66.0,78.0,
454129,GEORGETOWN BEHAVIORAL HEALTH INSTITUTE,GEORGETOWN,WILLIAMSON,Proprietary,Psychiatric,,False,,,,,,,,,,,
454050,GLEN OAKS HOSPITAL,GREENVILLE,HUNT,Proprietary,Psychiatric,,False,,,,,,,,,,,
450451,GLEN ROSE MEDICAL CENTER,GLEN ROSE,SOMERVELL,Government - Hospital District or Authority,Acute Care Hospitals,,False,17.0,,,17.1,,,74.0,1.0,87.0,89.0,
451369,GOLDEN PLAINS COMMUNITY HOSPITAL,BORGER,HUTCHINSON,Proprietary,Critical Access Hospitals,,False,,,,,,,,,55.0,74.0,
451385,GOODALL WITCHER HOSPITAL,CLIFTON,BOSQUE,Government - Hospital District or Authority,Critical Access Hospitals,,False,16.6,22.3,,14.1,,,,1.0,,,
450162,GRACE SURGICAL HOSPITAL,LUBBOCK,LUBBOCK,Voluntary non-profit - Private,Acute Care Hospitals,,False,,,,,,,,,88.0,87.0,
671300,GRAHAM REGIONAL MEDICAL CENTER,GRAHAM,YOUNG,Government - Hospital District or Authority,Critical Access Hospitals,,False,17.1,,,15.0,,,93.0,1.0,88.0,87.0,
451322,GRIMES ST JOSEPH HEALTH CENTER,NAVASOTA,GRIMES,Voluntary non-profit - Private,Critical Access Hospitals,,False,,,,,,,,0.0,,,
450104,GUADALUPE REGIONAL MEDICAL CENTER,SEGUIN,GUADALUPE,Government - Local,Acute Care Hospitals,2.0,False,16.9,21.7,12.2,15.0,0.842,2.326,71.0,2.0,80.0,84.0,5.0
451392,HAMILTON GENERAL HOSPITAL,HAMILTON,HAMILTON,Government - Hospital District or Authority,Critical Access Hospitals,,False,16.2,21.5,,16.9,,,68.0,0.0,84.0,87.0,
451354,HAMILTON HOSPITAL,OLNEY,YOUNG,Government - Hospital District or Authority,Critical Access Hospitals,,False,17.2,,,17.3,,,,0.0,81.0,85.0,
451344,HANSFORD COUNTY HOSPITAL,SPEARMAN,HANSFORD,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,16.7,,,,0.0,,,
451352,HARDEMAN COUNTY MEMORIAL HOSPITAL,QUANAH,HARDEMAN,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,0.0,,,
450855,HARLINGEN MEDICAL CENTER,HARLINGEN,CAMERON,Proprietary,Acute Care Hospitals,4.0,False,16.0,20.5,8.8,11.0,0.954,0.265,49.0,1.0,77.0,73.0,3.0
454076,HARRIS COUNTY PSYCHIATRIC CENTER,HOUSTON,HARRIS,Government - State,Psychiatric,,True,,,,,,,,,,,
